ESTIMATION_DATE,FORECAST_DATE,PC1_FORECAST_VAR,PC2_FORECAST_VAR,PC3_FORECAST_VAR,PC4_FORECAST_VAR,PC1_FORECAST_PERS,PC2_FORECAST_PERS,PC3_FORECAST_PERS,PC4_FORECAST_PERS,PC1_ACTUAL,PC2_ACTUAL,PC3_ACTUAL,PC4_ACTUAL,PC1_ERROR_VAR,PC1_ABS_ERROR_VAR,PC1_SQ_ERROR_VAR,PC1_ERROR_PERS,PC1_ABS_ERROR_PERS,PC1_SQ_ERROR_PERS,PC2_ERROR_VAR,PC2_ABS_ERROR_VAR,PC2_SQ_ERROR_VAR,PC2_ERROR_PERS,PC2_ABS_ERROR_PERS,PC2_SQ_ERROR_PERS,PC3_ERROR_VAR,PC3_ABS_ERROR_VAR,PC3_SQ_ERROR_VAR,PC3_ERROR_PERS,PC3_ABS_ERROR_PERS,PC3_SQ_ERROR_PERS,PC4_ERROR_VAR,PC4_ABS_ERROR_VAR,PC4_SQ_ERROR_VAR,PC4_ERROR_PERS,PC4_ABS_ERROR_PERS,PC4_SQ_ERROR_PERS
2015-04-08,2015-05-08,0.008685096255577729,0.008962251149342312,0.0022622731289554873,-0.002274729446425705,0.008704427,0.008291121,0.002129358,-0.002261864,0.021703107,0.008900902,0.002100918,-0.003197022,0.01301801074442227,0.01301801074442227,0.00016946860374189368,0.012998679999999999,0.012998679999999999,0.00016896568174239995,-6.134914934231156e-05,6.134914934231156e-05,3.763718125025247e-09,0.0006097810000000002,0.0006097810000000002,3.7183286796100026e-07,-0.00016135512895548753,0.00016135512895548753,2.603547764024201e-08,-2.8440000000000236e-05,2.8440000000000236e-05,8.088336000000134e-10,-0.0009222925535742948,0.0009222925535742948,8.506235543785935e-07,-0.0009351579999999997,0.0009351579999999997,8.745204849639995e-07
2015-04-09,2015-05-11,0.008147105627392468,0.009107405948997706,0.0022965836165437657,-0.002363295836977723,0.008116056,0.008618364,0.002198431,-0.002313909,0.022490897,0.00943217,0.00215336,-0.003215436,0.014343791372607531,0.014343791372607531,0.00020574435094089025,0.014374841,0.014374841,0.00020663605377528097,0.00032476405100229436,0.00032476405100229436,1.0547168882342084e-07,0.0008138060000000003,0.0008138060000000003,6.622802056360004e-07,-0.00014322361654376574,0.00014322361654376574,2.0513004335875647e-08,-4.5070999999999826e-05,4.5070999999999826e-05,2.0313950409999845e-09,-0.000852140163022277,0.000852140163022277,7.261428574356329e-07,-0.0009015270000000001,0.0009015270000000001,8.127509317290001e-07
2015-04-10,2015-05-12,0.007938917781036036,0.009345916134555718,0.0023456313397301415,-0.0024023854743115713,0.007917111,0.008840152,0.002253308,-0.002358339,0.026270178,0.010025644,0.002168941,-0.00347395,0.018331260218963967,0.018331260218963967,0.0003360351012153709,0.018353067,0.018353067,0.000336835068306489,0.000679727865444282,0.000679727865444282,4.620299710614399e-07,0.0011854919999999998,0.0011854919999999998,1.4053912820639995e-06,-0.00017669033973014133,0.00017669033973014133,3.121947615395276e-08,-8.436699999999969e-05,8.436699999999969e-05,7.117790688999948e-09,-0.0010715645256884287,0.0010715645256884287,1.148250532713867e-06,-0.0011156109999999999,0.0011156109999999999,1.2445879033209996e-06
2015-04-13,2015-05-13,0.007852599159369679,0.009236612953952129,0.002333592436615039,-0.002423143503131951,0.007894023,0.008722027,0.002240496,-0.002386733,0.024680229,0.009865199,0.002221955,-0.003313204,0.016827629840630322,0.016827629840630322,0.0002831691260532721,0.016786206,0.016786206,0.00028177671187443605,0.0006285860460478708,0.0006285860460478708,3.9512041728609595e-07,0.0011431719999999996,0.0011431719999999996,1.306842221583999e-06,-0.0001116374366150392,0.0001116374366150392,1.2462917253976894e-08,-1.8540999999999957e-05,1.8540999999999957e-05,3.437686809999984e-10,-0.0008900604968680491,0.0008900604968680491,7.922076880849984e-07,-0.0009264710000000003,0.0009264710000000003,8.583485138410006e-07
2015-04-14,2015-05-14,0.007635019286862223,0.008978184665804306,0.0023276334220466532,-0.00247730396353051,0.007726824,0.008492857,0.002230523,-0.002435885,0.028138961,0.010570334,0.002013481,-0.003475227,0.020503941713137776,0.020503941713137776,0.00042041162577575124,0.020412137,0.020412137,0.000416655336906769,0.0015921493341956947,0.0015921493341956947,2.534939502379794e-06,0.002077477000000001,0.002077477000000001,4.315910685529005e-06,-0.0003141524220466531,0.0003141524220466531,9.869174427777845e-08,-0.00021704199999999976,0.00021704199999999976,4.710722976399989e-08,-0.0009979230364694901,0.0009979230364694901,9.958503867164873e-07,-0.001039342,0.001039342,1.080231792964e-06
2015-04-15,2015-05-15,0.006772245712893347,0.008811841136048708,0.002365772384616928,-0.0024877462253006916,0.006870385,0.00839795,0.002294116,-0.002434524,0.025045421,0.010019797,0.002189314,-0.003293205,0.01827317528710665,0.01827317528710665,0.0003339089350733252,0.018175036,0.018175036,0.00033033193360129594,0.0012079558639512926,0.0012079558639512926,1.4591573692543138e-06,0.001621847000000001,0.001621847000000001,2.630387691409003e-06,-0.00017645838461692815,0.00017645838461692815,3.113756150161574e-08,-0.0001048020000000002,0.0001048020000000002,1.0983459204000041e-08,-0.0008054587746993084,0.0008054587746993084,6.487638377401113e-07,-0.000858681,0.000858681,7.37333059761e-07
2015-04-16,2015-05-18,0.006375111763820052,0.008744389601883068,0.002383777672093021,-0.0024796040823836353,0.006405793,0.008262307,0.002312479,-0.002432541,0.025050783,0.009875407,0.002219686,-0.003337252,0.01867567123617995,0.01867567123617995,0.0003487806961218791,0.01864499,0.01864499,0.0003476356521001,0.0011310173981169316,0.0011310173981169316,1.2792003548431938e-06,0.0016130999999999993,0.0016130999999999993,2.6020916099999978e-06,-0.00016409167209302132,0.00016409167209302132,2.692607685028363e-08,-9.27930000000003e-05,9.27930000000003e-05,8.610540849000056e-09,-0.0008576479176163648,0.0008576479176163648,7.355599505916869e-07,-0.0009047110000000003,0.0009047110000000003,8.185019935210005e-07
2015-04-17,2015-05-19,0.004825205004544492,0.00821757361092595,0.0022163390239099126,-0.0023584011711873507,0.004764127,0.007698255,0.002204931,-0.002302804,0.022233602,0.010121471,0.002416671,-0.003114216,0.01740839699545551,0.01740839699545551,0.0003030522859513844,0.017469475,0.017469475,0.00030518255677562504,0.0019038973890740506,0.0019038973890740506,3.624825268122987e-06,0.0024232159999999997,0.0024232159999999997,5.8719757826559985e-06,0.00020033197609008744,0.00020033197609008744,4.0132900644159365e-08,0.0002117400000000002,0.0002117400000000002,4.483382760000008e-08,-0.0007558148288126492,0.0007558148288126492,5.712560554530942e-07,-0.0008114120000000001,0.0008114120000000001,6.583894337440001e-07
2015-04-20,2015-05-20,0.004225454408848845,0.008224950479904366,0.0022137373119069242,-0.0021970878702096005,0.004191824,0.007596018,0.002195119,-0.002164443,0.022928233,0.009664621,0.002488266,-0.003272297,0.018702778591151152,0.018702778591151152,0.0003497939270296219,0.018736409,0.018736409,0.000351053022215281,0.0014396705200956338,0.0014396705200956338,2.0726512064324327e-06,0.0020686029999999996,0.0020686029999999996,4.279118371608998e-06,0.0002745286880930756,0.0002745286880930756,7.536600058610518e-08,0.0002931469999999997,0.0002931469999999997,8.59351636089998e-08,-0.0010752091297903995,0.0010752091297903995,1.156074672784628e-06,-0.0011078540000000001,0.0011078540000000001,1.2273404853160003e-06
2015-04-21,2015-05-21,0.004223899715787259,0.008086250460482784,0.0022344800219940477,-0.002245905112332189,0.004136944,0.007417269,0.002179422,-0.002200026,0.02438879,0.01016862,0.00266151,-0.003353417,0.02016489028421274,0.02016489028421274,0.0004066228001743374,0.020251846,0.020251846,0.000410137266407716,0.002082369539517216,0.002082369539517216,4.336262899109143e-06,0.002751351,0.002751351,7.569932325201e-06,0.0004270299780059525,0.0004270299780059525,1.8235460211576426e-07,0.0004820880000000003,0.0004820880000000003,2.324088397440003e-07,-0.001107511887667811,0.001107511887667811,1.2265825813255182e-06,-0.0011533910000000001,0.0011533910000000001,1.3303107988810002e-06
