CURRENT_DATE,FORECASTED_DATE,LAMBDA,CURRENT_BETA0,CURRENT_BETA1,CURRENT_BETA2,RMSE_CURRENT,MAE_CURRENT,TAE_CURRENT,FUTURE_BETA0,FUTURE_BETA1,FUTURE_BETA2,RMSE_FUTURE,MAE_FUTURE,TAE_FUTURE,RMSE_RATIO,MAE_RATIO,TAE_RATIO
2001-11-27,2001-12-26,0.14364127180685046,0.054436294082837886,-0.023323699478755372,0.019015813531363723,0.0008985491081097827,0.0006292623326275559,0.009438934989413339,0.05048668932420088,-0.020739934154757923,0.03270571186921252,0.0006912229834312928,0.0004091623533059127,0.006137435299588691,1.0154835104267959,1.0307235675385877,1.0307235675385877
2001-11-28,2001-12-27,0.14399660806620812,0.05460424091592283,-0.024468437194683394,0.018399696704457888,0.0009059534612936007,0.000605089443701524,0.00907634165552286,0.05057577919749683,-0.020697272286821305,0.034709658503463366,0.000711358185062056,0.00043762234023762326,0.006564335103564349,1.0185474224869036,1.0402162525898129,1.040216252589813
2001-11-29,2001-12-28,0.14425686904551835,0.053932704979786215,-0.02434813387459369,0.018964419345216123,0.000882047427692537,0.0006010340256963069,0.009015510385444604,0.05027639612989385,-0.020642970701616123,0.035865068651066194,0.0007042547283624524,0.0004352164121935379,0.006528246182903069,1.0205481637702571,1.043237310115071,1.0432373101150711
2001-11-30,2001-12-31,0.14451688456068587,0.05367222487510204,-0.024886233039534918,0.0191192521788768,0.0008419049514191378,0.0005397797660179995,0.008096696490269992,0.05027786149489087,-0.02067766356070943,0.03589552404868249,0.0007055716575277837,0.0004382008909193473,0.006573013363790209,1.0214026868366466,1.0475758959935715,1.0475758959935715
2001-12-03,2002-01-02,0.14476838676164494,0.0527691915863074,-0.02425889566043369,0.019578519190520394,0.0008095669260783366,0.0005052583759424,0.007578875639136,0.05057697445537547,-0.020965998851424368,0.03591760643813318,0.0007511204220081765,0.0004875236640532928,0.007312854960799392,1.022212026720952,1.0561797411269889,1.0561797411269889
2001-12-04,2002-01-03,0.14497755108187077,0.05250380425678419,-0.02381572538064887,0.018956076188992647,0.000776602468429579,0.00048660191713266097,0.007299028756989914,0.05036434949931769,-0.020821408726864703,0.03478856699316598,0.0007309855056727513,0.00046504617556520587,0.006975692633478088,1.0235012763715394,1.059673638460598,1.059673638460598
2001-12-05,2002-01-04,0.1450834678489994,0.05321148374564824,-0.02276590843774859,0.020409307618422138,0.0007613083259258895,0.0004945049613101267,0.0074175744196519,0.050581414178386824,-0.020331325878113406,0.034410355191622145,0.0007289733728176324,0.00046466403845530404,0.0069699605768295606,1.0245063051594028,1.0624730996955865,1.0624730996955862
2001-12-06,2002-01-07,0.14523089336464326,0.051609886310716314,-0.020319662352095792,0.023624220708459803,0.000699027410513326,0.000461129602276344,0.00691694403414516,0.05032516740564217,-0.02021435669106475,0.030786742560426142,0.000699550548423393,0.0004247072863473464,0.006370609295210196,1.0208369903529546,1.0610978500489854,1.0610978500489852
2001-12-07,2002-01-08,0.14545919164471632,0.05227328782564521,-0.02110397314949694,0.027027757245889208,0.0007363544123616658,0.0004886651075028665,0.007329976612542997,0.05063178851328947,-0.020515471290256708,0.030204096711082484,0.0007102341071856622,0.0004188318326398155,0.006282477489597232,1.0188588443458946,1.0418593937978193,1.0418593937978193
2001-12-10,2002-01-09,0.14577788475138687,0.0512127868517873,-0.020785924015889204,0.02898827407010817,0.0007464062904140971,0.00048412907622312533,0.00726193614334688,0.04967794574222109,-0.018526716224985276,0.031345158827055034,0.0006355730587230189,0.0003801116013473646,0.005701674020210469,1.020852129050412,1.042688170214762,1.042688170214762
2001-12-11,2002-01-10,0.14611183426797247,0.051154247250613974,-0.02116018019257539,0.027952864850512384,0.000734899941929562,0.0004592572098195705,0.006888858147293557,0.05021354298178926,-0.01927692115940341,0.029666049616223954,0.0006681354688557556,0.00040752789079434256,0.006112918361915139,1.0191548099920418,1.0487316484533926,1.0487316484533928
