REFERENCE_DATE,FORECAST_DATE,LAMBDA,LAG22_BETA1,LAG22_BETA2,LAG22_BETA3,RMSE_LAG22,LAG43_BETA1,LAG43_BETA2,LAG43_BETA3,RMSE_LAG43,LAG64_BETA1,LAG64_BETA2,LAG64_BETA3,RMSE_LAG64,LAG85_BETA1,LAG85_BETA2,LAG85_BETA3,RMSE_LAG85,LAG106_BETA1,LAG106_BETA2,LAG106_BETA3,RMSE_LAG106,LAG127_BETA1,LAG127_BETA2,LAG127_BETA3,RMSE_LAG127,LAG148_BETA1,LAG148_BETA2,LAG148_BETA3,RMSE_LAG148,LAG169_BETA1,LAG169_BETA2,LAG169_BETA3,RMSE_LAG169,LAG190_BETA1,LAG190_BETA2,LAG190_BETA3,RMSE_LAG190,LAG211_BETA1,LAG211_BETA2,LAG211_BETA3,RMSE_LAG211,CURRENT_BETA1,CURRENT_BETA2,CURRENT_BETA3,RMSE_CURRENT,FUTURE_BETA1,FUTURE_BETA2,FUTURE_BETA3,RMSE_FUTURE,FUTURE_BETA1_DIRECTION_DIFF,FUTURE_BETA2_DIRECTION_DIFF,FUTURE_BETA3_DIRECTION_DIFF
2001-11-28,2001-12-27,0.14363126004590496,0.058136791669977976,-0.030193426887492138,0.009000768735762853,0.0007739048484544333,0.06400290000222053,-0.03375878698360084,0.006551679139187404,0.0009332122641539076,0.06306298435007295,-0.027089341326438685,-0.004753798799465453,0.0009058247592422838,0.06475926360807681,-0.026119253680737753,-0.007837765687756697,0.0008789900517877163,0.06624515464485667,-0.02586097892055208,-0.00614345357676525,0.0008990265965158882,0.0667845908733894,-0.025938679766005588,-0.01045398361376157,0.0010436856934626579,0.06679580452753535,-0.022093653247541457,-0.02174365269228317,0.0008621614896439675,0.0671107131022746,-0.025996190055593844,-0.022089201724200574,0.0009839490503696527,0.06643906330654609,-0.02247884941071449,-0.0272088178463422,0.0011048405544542934,0.06255052403556659,-0.018995626033041668,-0.01926185205649892,0.0008727831546764834,0.05458194027444879,-0.02444185286029404,0.01849771199451124,0.0009062601862435917,0.05053198497792877,-0.02064610190612929,0.0348347478881059,0.0007121544542760777,-0.004049955296520025,0.003795750954164751,0.01633703589359466
2001-11-29,2001-12-28,0.14397531489066026,0.05831960621346989,-0.03137386603210894,0.008723282030252943,0.0008343738608418491,0.06380938689184071,-0.033844621927257956,0.006746491982229768,0.0009210894383677503,0.06397104317024453,-0.027944130802767357,-0.005419882772575526,0.0009427937282625806,0.06474737791109403,-0.025879679374282743,-0.007713816552056246,0.0008643765805757686,0.06606393837049163,-0.025594136240484667,-0.00625920327279623,0.0008931334463617918,0.0666241241461842,-0.026180925178246144,-0.011420209570235871,0.0010325219233074466,0.06683133186329683,-0.02252008811293078,-0.020978807803986803,0.0008707685523903918,0.06688167267132272,-0.02627112073105954,-0.02233636082466868,0.000983269785322893,0.06563502930442666,-0.021929543498069814,-0.02683211024698133,0.0010700082827735428,0.0628474816579578,-0.01935200915220097,-0.020467392311595743,0.0008968118304701789,0.05391503419827513,-0.02432707741899266,0.01904042976902351,0.0008822980674281481,0.05024165774287856,-0.020602366564067963,0.03596291149486805,0.0007049043412419289,-0.0036733764553965736,0.003724710854924696,0.01692248172584454
2001-11-30,2001-12-31,0.14423870261650543,0.055937043398678325,-0.028870536688230117,0.011870926037246146,0.000753438723535843,0.06292202626899261,-0.033268422570799164,0.006588867019635713,0.0009051391776629111,0.06401606316686452,-0.02827700574628159,-0.005039626914112577,0.000957463714731744,0.06471707081496475,-0.026302053126312314,-0.007190590629104013,0.0008902624056902035,0.06583431123985417,-0.02506459282305867,-0.006773399655580083,0.0008782788414741406,0.0671410155202225,-0.026781933456293747,-0.01128051811869144,0.0010415032164768766,0.06690504446749787,-0.022532829738269814,-0.021504180660086393,0.0008733893065756704,0.06709085171260176,-0.02666217901341457,-0.021938764648983672,0.0009968343785358082,0.06502042881207878,-0.02116530667024572,-0.025954449564180204,0.0010227092918310317,0.06272944835917965,-0.01874057848197549,-0.019949909158156778,0.0008879031479360837,0.05365422615775224,-0.024865043200054903,0.01919670057248705,0.000842095688003501,0.050243658547882424,-0.020637646623547473,0.035991927590745994,0.0007062195112451223,-0.0034105676098698176,0.00422739657650743,0.016795227018258942
2001-12-03,2002-01-02,0.14447908658218453,0.05244065067139585,-0.025655407717796917,0.013866675363755913,0.0006988445730391058,0.06321040610377787,-0.03420834373553949,0.005756583399225091,0.0009430175936408505,0.06444964641927378,-0.027363453955300352,-0.004820633311918883,0.0009119431612555608,0.06508867326696996,-0.026645517827593317,-0.008302828903047841,0.0009000042382119067,0.06520549034432956,-0.024904107041440256,-0.006052709755066294,0.0008629591916522268,0.06738749751171959,-0.026755510902009894,-0.010878964712348069,0.001074712740369487,0.06662621700114908,-0.02301175260771458,-0.020091635166247915,0.0008922926404378209,0.0667834656324451,-0.025960058543425472,-0.020734236755628938,0.0009655067707592959,0.06512011054790948,-0.021175131581379583,-0.026691012093363227,0.0010462832447328547,0.06254619488553254,-0.01890189769437954,-0.019839497392653924,0.0008819970618506351,0.052749928974965866,-0.024236296128574975,0.019658780482081174,0.0008097558673251597,0.050541756910277874,-0.02092462472859781,0.03601745309618023,0.0007518369651047177,-0.0022081720646879924,0.0033116713999771646,0.016358672614099054
2001-12-04,2002-01-03,0.14472653467520682,0.05305795892940793,-0.026651539782247338,0.0156484278176451,0.0007547507948904562,0.06274344891229966,-0.033989407231082694,0.007844092591976073,0.0009130976900291255,0.06447113298901937,-0.026999950246217593,-0.004745945242900427,0.0009083388466185336,0.06472587999201751,-0.026159678982003446,-0.00798777101313484,0.0008852537994031267,0.06456735621283016,-0.024179007502401758,-0.003940370068465953,0.0008318181045230407,0.06635414268390154,-0.025566227407320553,-0.009578155583680534,0.0010334781938616659,0.06643072734432609,-0.025132815277072035,-0.015004446366660321,0.0009205963402551123,0.06699188206956332,-0.024243066807362202,-0.022255926578204653,0.0009416747072665461,0.06572245160885871,-0.021771875034219974,-0.026603855546736492,0.0010507837644726905,0.06283955022599072,-0.01908320731599439,-0.020711168274067965,0.0009214473515636576,0.052487660924467175,-0.023796784242032056,0.019023947999462068,0.000776759391711599,0.05033489955217445,-0.020786763169442175,0.03487299089462566,0.0007315991291520294,-0.0021527613722927275,0.00301002107258988,0.01584904289516359
2001-12-05,2002-01-04,0.14493198879045013,0.053958254521099626,-0.027831823467763337,0.013661710633220778,0.0008223180826765877,0.06305721651031264,-0.034229871337877235,0.006082004751236797,0.0009215561814660768,0.06402096264284225,-0.02741701782114232,-0.003904734628466117,0.0009088349623015872,0.06515905909698448,-0.026342950924020992,-0.009118742349839806,0.0008996560719259027,0.06510546321714314,-0.025022191232599633,-0.004956618066893621,0.0008735795772991378,0.06617348294322112,-0.025474927141179365,-0.009608972920222546,0.001004571141257182,0.0675686111402423,-0.026268036401511277,-0.014057577037447895,0.000942023481980331,0.06666259459798078,-0.023049669505385912,-0.023302437677876448,0.0009207744515679988,0.06630877335740572,-0.022865811373468846,-0.027773089259464298,0.001083131937514714,0.06351725975488741,-0.019954362899405508,-0.021941219259502834,0.000995678745446867,0.053201047751014835,-0.02275364643616161,0.020450257498233204,0.0007614240482484771,0.05056389086820066,-0.02031069781643601,0.03446034259700241,0.0007293387779164546,-0.0026371568828141775,0.0024429486197255976,0.014010085098769207
2001-12-06,2002-01-07,0.14504767309147354,0.054012775495670046,-0.02838005495251065,0.0151334981862431,0.0008339418784522578,0.06408179246801896,-0.035201502413827246,0.004807902770789659,0.0009422336661159804,0.06385495197149689,-0.02820148403987393,-0.0036727968792981645,0.0009365167406604571,0.06420622337261205,-0.02648639095528873,-0.007760537339467473,0.0009003668863475023,0.06566084836666801,-0.025921812810315917,-0.006911786405776053,0.0009139917208298681,0.06618753504966202,-0.02511996675143865,-0.009505290822869512,0.0010014303333934567,0.06789474677827499,-0.026280390923216348,-0.012548035979891004,0.0009454201303484208,0.06665267175128038,-0.023038489344708164,-0.023303523569687935,0.0009208259388713602,0.06722388848881512,-0.024069133873083445,-0.028944500555279088,0.0011258854535315104,0.06394989506188843,-0.01995202448109574,-0.02254841499378732,0.001008666547984803,0.05159528587267669,-0.02030251039673891,0.02367389790375955,0.0006992277891805206,0.05030617754766368,-0.020192028184589622,0.030843469273626595,0.0006999011748241332,-0.0012891083250130136,0.00011048221214928627,0.007169571369867046
2001-12-07,2002-01-08,0.14521342908628615,0.053495120315740934,-0.028596252823152625,0.015685652191370338,0.000835971664982147,0.06395389619371618,-0.034618399155223134,0.005304148809944374,0.0009281080771013394,0.06399060396976179,-0.02832525563847952,-0.0028044649387307333,0.0009314118830016867,0.06362223653350908,-0.02633757249444908,-0.007336491267189938,0.0008963809898423134,0.06502432261076409,-0.02529105194829111,-0.005366477502402371,0.0008915961202910254,0.0663602462808992,-0.024695503250214596,-0.010626448056035903,0.000981392453832545,0.0671273391118693,-0.02534970656787341,-0.011252090575585296,0.0009199087604681787,0.06663848050396202,-0.0230224955640917,-0.02330509018143407,0.0009208999863516658,0.06762014390553357,-0.02499363693616826,-0.029875796420346126,0.0011250842801335717,0.06381260537532761,-0.018879639305642383,-0.022116049109437937,0.0010447832461618956,0.05225107667475186,-0.021077786688586737,0.02709980461311955,0.0007367238942924985,0.050606791777072335,-0.02048610387252823,0.030279918472071114,0.0007106594927981054,-0.0016442848976795238,0.0005916828160585086,0.0031801138589515644
2001-12-10,2002-01-09,0.1454759459720365,0.05231508562430428,-0.027148338391219683,0.018548468913414447,0.0007858241899197466,0.06331685207027475,-0.03371817746150691,0.005394168642053042,0.0008954104570217462,0.06332752603646716,-0.029997758219793908,0.0004581073384744734,0.0010439888036119045,0.06356612828700076,-0.026136807683743393,-0.007718340483677311,0.0008955545054683274,0.06505210927752673,-0.02521123438781989,-0.005245015211319465,0.0008783656937159116,0.06660551735523852,-0.025533369491259377,-0.01250290102097818,0.0010056777558107768,0.06713751871937179,-0.025453734437832446,-0.011582392377581009,0.0009372505064871701,0.06728151473817352,-0.023353514118059294,-0.023656888629572687,0.0009241267293620906,0.06746987429428662,-0.024458840942775034,-0.029350468604310082,0.001104012148241716,0.06415944361391446,-0.019590045300287292,-0.02270340884993045,0.0010708137493172783,0.05118363136807754,-0.020751524163239044,0.029079052552520097,0.000746920604211852,0.04964586843323276,-0.018489193197270607,0.03143668995005562,0.0006360862176220844,-0.001537762934844783,0.002262330965968437,0.0023576373975355246
2001-12-11,2002-01-10,0.1458116696345445,0.052498182584729894,-0.026915871862401033,0.017642437045902026,0.0007643234934558919,0.06251677659203904,-0.03222495989601697,0.006007228621100086,0.0008434076662813239,0.06610572085550628,-0.03303935530321954,-0.0024737016326956615,0.001109545473108844,0.06379262316016675,-0.026257818798216637,-0.007044819462507802,0.0008891025294816553,0.0650614882286073,-0.025181717780536777,-0.006242420030310009,0.0008744735994625462,0.06748512336145787,-0.026366875185043062,-0.0141746731398063,0.0010760814665506603,0.06647465553930805,-0.02473673697477255,-0.011112282421440732,0.0009133251542831183,0.06749771898852111,-0.0244622747570147,-0.0204321885296773,0.0009412702200225513,0.06722137648173712,-0.023981064272130717,-0.029100404907069354,0.0010645299198094832,0.06442548906744912,-0.01988634597647321,-0.02374688319370461,0.001101701704133445,0.05112640664958907,-0.02112731546336045,0.028041891819382967,0.0007353759327341878,0.05018366492013547,-0.019241847210181524,0.02975493255534139,0.0006686199994174386,-0.0009427417294535986,0.001885468253178927,0.0017130407359584217
